Cell,Cycle,Tem,Voltage-mean,Voltage,Current,Capacity
NCM Cell 7,1,25,3.265967960064935,2.499912,-3498.294590637632,3229.613854398463
NCM Cell 7,2,25,3.2658798714285715,2.499912,-3498.302826933802,3228.352943664551
NCM Cell 7,3,25,3.2645935032467532,2.50003,-3498.338456095306,3226.959747989908
NCM Cell 7,4,25,3.265353033116883,2.4998727,-3498.432634266073,3224.299210168731
NCM Cell 7,5,25,3.2646177899350652,2.5000694,-3498.42434073529,3221.1525963781764
NCM Cell 7,6,25,3.2641626626623377,2.4998727,-3498.616838219148,3218.164045542536
NCM Cell 7,7,25,3.2655462143322476,2.4998727,-3498.3877957815853,3215.60095718438
NCM Cell 7,8,25,3.2655036296416946,2.499912,-3498.3841869952557,3212.1642051062013
NCM Cell 7,9,25,3.264015899025974,2.4999907,-3498.1875429620063,3209.334351109484
NCM Cell 7,10,25,3.265330345602606,2.4999907,-3498.22537571104,3206.465609441324
NCM Cell 7,11,25,3.2644969,2.4998727,-3498.179875030239,3203.786742381997
NCM Cell 7,12,25,3.265279168403908,2.4999907,-3498.207812730031,3200.642044166801
NCM Cell 7,13,25,3.266215349837134,2.50003,-3498.210600072639,3197.4399027417
NCM Cell 7,14,25,3.2650259833876225,2.50003,-3498.277747731404,3194.616817593045
NCM Cell 7,15,25,3.265658438110749,2.499912,-3498.272465764997,3191.982623518335
NCM Cell 7,16,25,3.265393573289902,2.499912,-3498.3841114618767,3189.179298841144
NCM Cell 7,17,25,3.2657601504885996,2.4999907,-3498.1231228087468,3186.454091012776
NCM Cell 7,18,25,3.2656844762214985,2.4999514,-3498.099520669873,3183.418906696503
NCM Cell 7,19,25,3.2639630762214984,2.499912,-3498.068005437859,3180.552146459281
NCM Cell 7,20,25,3.264476251465798,2.499912,-3498.0481846356843,3178.1324694794407
NCM Cell 7,21,25,3.2649704416938112,2.4998727,-3498.074469715642,3175.277504307048
NCM Cell 7,22,25,3.2642124136807817,2.4998727,-3498.07642359997,3172.422485148384
