cycle_num,time_s,time_e,SOC_s,SOC_e,charge_capacity,Tmax,Tmin
1,2019-07-26 20:02:35,2019-07-26 22:05:25,27.2,99.6,133.5565592157766,43.29144095341278,40.82123510292524
2,2019-07-27 04:06:56,2019-07-27 05:47:08,30.0,99.6,135.44416351772034,42.27127659574468,38.839095744680854
3,2019-07-28 17:25:00,2019-07-28 18:21:11,39.6,88.8,133.51603497346437,37.88151658767772,36.87440758293839
4,2019-07-28 18:21:55,2019-07-28 18:54:06,89.2,99.6,145.94978669871807,39.10288065843621,38.0
5,2019-07-29 12:53:17,2019-07-29 14:39:05,26.8,86.0,133.6901229565503,38.4647355163728,37.05541561712846
6,2019-07-29 22:20:45,2019-07-29 23:55:20,18.8,65.2,132.8090614703065,35.41713483146067,32.18258426966292
7,2019-07-30 02:16:49,2019-07-30 05:30:58,38.8,99.6,135.32108930921052,35.52024708304736,32.88606726149622
8,2019-07-30 13:32:26,2019-07-30 14:49:25,48.8,99.6,136.08786931867894,39.982698961937714,37.57439446366782
9,2019-07-30 23:59:53,2019-07-31 02:33:59,22.8,73.2,130.96466736111108,36.699826989619375,34.50865051903114
10,2019-07-31 08:06:58,2019-07-31 08:21:46,14.0,27.6,134.09234477124178,34.86607142857143,32.625
11,2019-07-31 08:22:26,2019-07-31 10:02:20,28.4,99.6,136.5224309788546,39.26994680851064,37.07313829787234
12,2019-07-31 22:04:53,2019-07-31 22:56:40,30.8,60.4,130.94066398273276,33.88946015424165,30.753213367609256
13,2019-08-01 08:11:16,2019-08-01 09:36:00,60.0,99.6,135.53905253928173,30.59119496855346,29.34119496855346
14,2019-08-01 19:18:38,2019-08-01 20:49:37,52.0,98.8,133.4924883873457,30.875549048316252,29.01610541727672
15,2019-08-02 15:32:35,2019-08-02 17:13:35,18.0,68.8,131.6478607901356,32.52770448548813,31.1754617414248
16,2019-08-02 17:15:19,2019-08-02 17:57:52,68.4,89.2,134.3054659121261,34.559375,33.0
17,2019-08-03 01:03:46,2019-08-03 02:46:54,19.2,69.6,133.3532087081129,35.68217054263566,33.166666666666664
18,2019-08-03 07:04:16,2019-08-03 08:45:40,28.8,99.6,135.83248990701506,37.08278580814717,34.467805519053876
19,2019-08-04 01:00:40,2019-08-04 02:29:24,19.2,95.2,132.35747710891815,35.974474474474476,33.8963963963964
20,2019-08-04 07:27:00,2019-08-04 08:28:15,58.8,93.2,133.84022670381134,35.0,31.97830802603037
21,2019-08-04 18:13:01,2019-08-04 23:01:05,24.4,99.6,136.42106902925534,38.234722222222224,36.08657407407407
22,2019-08-05 17:11:09,2019-08-05 18:49:45,16.0,98.4,134.32234785598703,40.75,39.32297297297297
23,2019-08-06 05:16:44,2019-08-06 07:17:37,12.4,99.6,134.59117886404184,41.36273428886439,38.67254685777288
24,2019-08-06 18:11:52,2019-08-06 21:52:14,21.2,84.0,131.5788216737438,38.06291591046582,36.18451300665457
25,2019-08-07 00:24:17,2019-08-07 01:55:33,52.0,99.6,136.5719738270308,38.0029197080292,34.363503649635035
26,2019-08-07 16:09:37,2019-08-07 17:25:25,50.0,99.6,136.9303296202957,40.567662565905096,39.10193321616872
27,2019-08-08 16:01:17,2019-08-08 16:19:41,19.2,36.0,135.23612519841268,41.26618705035971,39.49640287769784
28,2019-08-08 16:20:21,2019-08-08 17:53:13,36.8,99.6,136.23015898796888,44.639885222381636,43.00573888091822
29,2019-08-09 15:38:38,2019-08-09 17:41:55,8.0,99.6,135.6118929024139,46.77297297297297,44.968648648648646
30,2019-08-11 00:17:24,2019-08-11 01:42:47,21.2,92.8,134.30369386832717,40.87207488299532,38.75195007800312
31,2019-08-11 08:55:20,2019-08-11 09:38:18,80.0,99.6,138.9556822278912,38.06501547987616,36.080495356037154
32,2019-08-11 21:45:40,2019-08-11 22:56:55,56.4,99.6,137.06486969521606,40.32897196261682,38.60560747663551
33,2019-08-12 03:23:37,2019-08-12 04:38:20,51.2,99.6,137.26983594180444,41.72370766488414,38.696969696969695
34,2019-08-12 16:21:32,2019-08-12 19:15:09,18.4,99.6,135.4874558788315,42.24116743471582,40.31720430107527
35,2019-08-13 03:28:16,2019-08-13 05:00:52,27.6,98.8,133.0830920704588,38.92230215827338,35.50359712230216
36,2019-08-13 10:31:47,2019-08-13 12:06:26,50.0,99.6,136.1094402945789,39.11376404494382,36.70786516853933
37,2019-08-14 11:47:53,2019-08-14 14:29:25,32.8,85.6,133.08254257154883,36.5486798679868,35.49752475247525
38,2019-08-14 14:30:05,2019-08-14 15:11:10,86.0,98.8,138.71381148003476,37.103559870550164,36.0
39,2019-08-14 18:20:36,2019-08-14 19:32:47,78.0,99.6,138.06577061471197,39.98708487084871,38.284132841328415
40,2019-08-15 08:26:21,2019-08-15 11:08:27,15.2,99.6,133.60953070695106,36.000821692686934,33.54313886606409
41,2019-08-16 01:09:46,2019-08-16 02:52:46,28.0,99.6,135.36407916666667,38.61836998706339,35.97412677878396
42,2019-08-16 16:21:49,2019-08-16 18:05:38,15.6,98.4,132.89077108662104,43.374839537869065,41.78690629011553
43,2019-08-17 02:23:21,2019-08-17 04:10:30,25.6,99.6,135.33570145833335,39.08457711442786,35.68407960199005
44,2019-08-18 04:10:04,2019-08-18 06:13:53,26.0,88.8,132.01922960456477,32.867599569429494,31.131324004305704
45,2019-08-18 17:02:31,2019-08-18 19:08:38,17.2,88.4,133.37939922206618,36.06322444678609,34.15384615384615
46,2019-08-19 03:30:39,2019-08-19 05:24:04,22.4,96.8,132.4885633818698,35.29612220916569,33.351351351351354
47,2019-08-19 17:13:07,2019-08-19 19:02:31,36.0,97.6,133.0748852994228,37.90377588306943,36.13154689403167
48,2019-08-20 17:51:24,2019-08-20 20:45:34,8.8,99.6,134.42030863313758,41.289211935730684,39.26090283091048
49,2019-08-21 01:51:04,2019-08-21 04:01:11,35.6,98.8,133.98827488352674,38.64549180327869,35.66495901639344
50,2019-08-21 20:39:38,2019-08-21 22:30:47,19.6,99.6,134.01985424479167,40.492805755395686,38.81175059952039
51,2019-08-22 17:24:10,2019-08-22 19:01:02,34.8,99.6,136.0788514874829,41.286107290233836,39.90646492434663
52,2019-08-23 05:02:24,2019-08-23 07:07:25,9.6,99.6,135.36335532407406,41.546908315565034,38.32089552238806
53,2019-08-24 07:07:37,2019-08-24 11:53:46,6.8,98.8,134.50330950483092,34.48182665424045,32.95759552656104
54,2019-08-24 22:27:51,2019-08-25 00:06:19,31.6,99.6,135.88947549836604,43.05277401894452,41.09066305818674
55,2019-08-25 21:07:49,2019-08-25 22:44:57,19.6,98.4,132.354158964326,36.37448559670782,34.1275720164609
56,2019-08-26 08:06:29,2019-08-26 09:37:29,38.8,99.6,135.09117504111845,34.80966325036603,31.93411420204978
57,2019-08-26 22:59:36,2019-08-27 00:34:28,32.4,99.6,135.28077452050266,36.752808988764045,34.55337078651685
