cycle_num,time_s,time_e,SOC_s,SOC_e,charge_capacity,Tmax,Tmin
1,2019-07-26 10:26:45,2019-07-26 12:07:29,22.0,79.2,132.30499776612277,34.164021164021165,33.14021164021164
2,2019-07-26 19:50:44,2019-07-26 21:14:32,14.8,88.8,133.6676341572823,44.65977742448331,42.70429252782194
3,2019-07-27 11:34:11,2019-07-27 13:04:58,31.2,99.6,135.04849292357054,40.26793557833089,38.789165446559295
4,2019-07-27 23:14:56,2019-07-28 01:03:49,33.6,94.4,134.86479594755116,41.51040391676867,38.776009791921666
5,2019-07-28 07:48:28,2019-07-28 10:04:34,38.8,99.6,136.16378530473324,38.231145935357496,35.811949069539665
6,2019-07-29 14:06:18,2019-07-29 15:58:15,12.8,99.6,135.49397630088328,40.503571428571426,39.246428571428574
7,2019-07-30 01:50:57,2019-07-30 03:35:01,20.8,99.6,134.79663770269318,39.056338028169016,36.37003841229193
8,2019-07-30 16:55:13,2019-07-30 18:37:41,21.2,99.6,135.4461123210743,39.980494148244475,37.57737321196359
9,2019-07-31 02:26:34,2019-07-31 03:45:49,44.0,99.6,135.5086601868505,39.64873949579832,37.04201680672269
10,2019-07-31 15:04:25,2019-07-31 16:29:32,31.2,98.8,133.84247811883628,37.41158059467919,34.99217527386541
11,2019-08-01 14:29:50,2019-08-01 14:43:27,37.6,44.0,136.88367975694447,30.815533980582526,29.0
12,2019-08-01 16:34:02,2019-08-01 18:18:23,44.8,99.2,126.55404325214457,31.901660280970624,30.656449553001277
13,2019-08-02 01:16:45,2019-08-02 02:44:54,36.0,99.6,134.5937301974144,36.913897280966765,34.161631419939575
14,2019-08-02 20:00:17,2019-08-02 21:37:25,25.6,99.6,132.86346594572072,35.97942386831276,34.47462277091907
15,2019-08-03 08:23:16,2019-08-03 09:28:47,51.2,99.2,134.05997332754634,34.4410569105691,33.3150406504065
16,2019-08-03 19:30:01,2019-08-03 21:15:02,32.0,90.8,134.1076590159675,34.55329949238579,32.53426395939086
17,2019-08-04 03:54:48,2019-08-04 05:33:03,28.4,84.0,132.87338077038368,33.23170731707317,31.211382113821138
18,2019-08-04 16:19:41,2019-08-04 18:52:51,13.6,98.4,133.6982743383124,40.130548302872064,38.33942558746736
19,2019-08-05 03:10:22,2019-08-05 06:42:34,32.4,99.6,135.13447533068785,36.745603015075375,34.20226130653266
20,2019-08-05 14:33:10,2019-08-05 16:09:14,52.8,99.6,127.16597342711304,40.77392510402219,39.49514563106796
21,2019-08-06 10:55:27,2019-08-06 12:08:06,44.4,99.2,134.51379826135442,37.17948717948718,36.27472527472528
22,2019-08-06 22:29:32,2019-08-06 23:53:51,27.2,98.4,133.3828746352216,41.11374407582938,38.88941548183254
23,2019-08-07 05:51:46,2019-08-07 09:00:42,51.2,99.6,136.67281530991738,36.533521524347215,33.5045871559633
24,2019-08-07 20:00:47,2019-08-07 21:24:35,42.4,99.6,136.3163592511655,41.42289348171701,39.753577106518286
25,2019-08-08 05:55:43,2019-08-08 09:22:07,33.6,99.6,134.03658050505052,37.501937984496124,34.82493540051679
26,2019-08-09 09:10:28,2019-08-09 10:09:42,21.2,40.8,130.84523812925173,34.33033707865169,33.31685393258427
27,2019-08-09 10:27:03,2019-08-09 12:24:28,40.0,99.6,135.06981724459362,37.627695800227016,36.441543700340524
28,2019-08-10 13:40:02,2019-08-10 15:18:57,17.6,97.6,134.13133957812502,44.58120805369128,42.68187919463087
29,2019-08-11 00:27:39,2019-08-11 02:53:45,15.2,99.6,135.06973353738812,43.10401459854015,39.93978102189781
30,2019-08-12 00:27:12,2019-08-12 02:15:56,12.8,99.2,134.24261384387862,39.693627450980394,37.02205882352941
31,2019-08-12 10:39:31,2019-08-12 12:37:03,42.8,98.8,134.31825083184526,37.6281179138322,35.941043083900226
32,2019-08-13 06:36:27,2019-08-13 07:57:50,44.8,99.6,135.08455950932685,35.10474631751227,33.04746317512275
33,2019-08-14 01:32:49,2019-08-14 02:40:36,20.8,80.4,133.47857515613347,39.60707269155206,37.76620825147348
34,2019-08-14 02:41:56,2019-08-14 03:20:37,81.6,99.6,140.65741660493828,42.0,39.77319587628866
