cycle_num,time_s,time_e,SOC_s,SOC_e,charge_capacity,Tmax,Tmin
1,2019-07-23 08:51:50,2019-07-23 09:21:03,50.0,75.2,135.64530151014108,31.45909090909091,30.322727272727274
2,2019-07-23 09:30:40,2019-07-23 09:45:04,75.6,89.6,116.30874730158732,32.74311926605505,31.55045871559633
3,2019-07-23 11:06:27,2019-07-23 11:39:01,89.6,99.6,151.19642493055557,32.93061224489796,31.0
4,2019-07-26 04:25:40,2019-07-26 06:30:10,24.0,98.8,133.39700948083782,37.59871931696905,35.67235859124867
5,2019-07-26 18:20:51,2019-07-26 19:37:02,18.0,67.2,134.50431675135502,41.81643356643357,39.85839160839161
6,2019-07-26 19:53:51,2019-07-26 20:33:45,67.6,92.8,135.8770613811728,43.0,40.96666666666667
7,2019-07-27 03:19:32,2019-07-27 03:49:50,43.6,58.4,133.41557466216221,38.925438596491226,35.916666666666664
8,2019-07-27 23:25:41,2019-07-27 23:40:06,74.0,86.4,136.08380647401427,42.0,40.091743119266056
9,2019-07-28 14:52:14,2019-07-28 16:00:01,33.6,66.8,133.0486451388889,38.58939096267191,37.153241650294696
10,2019-07-28 22:50:24,2019-07-28 23:54:10,18.0,75.2,133.2932716516123,39.26722338204593,37.34237995824635
11,2019-07-29 00:00:02,2019-07-29 00:13:39,80.4,91.2,132.72995859053503,42.0,40.0
12,2019-07-29 23:29:17,2019-07-29 23:54:57,16.0,40.0,133.98937060185185,33.57216494845361,31.829896907216494
13,2019-07-29 23:59:53,2019-07-30 01:18:02,44.4,99.6,135.27015112721418,38.311754684838164,36.442930153321974
14,2019-07-30 23:15:57,2019-07-30 23:53:51,18.4,53.6,132.98281279987373,37.242105263157896,35.67719298245614
15,2019-07-30 23:59:51,2019-07-31 00:31:12,59.2,87.6,136.20443979851336,41.03389830508475,39.3728813559322
16,2019-07-31 06:13:42,2019-07-31 07:10:40,67.6,99.6,138.91290227864584,37.35514018691589,34.84345794392523
17,2019-08-01 00:46:27,2019-08-01 02:03:21,23.6,90.0,134.00563644578313,33.8598615916955,32.0
18,2019-08-01 14:54:14,2019-08-01 16:26:01,33.6,99.2,134.0819830284553,33.65021770682148,31.014513788098693
19,2019-08-02 04:12:27,2019-08-02 09:01:30,8.0,99.6,135.22697344432316,31.34516129032258,29.11935483870968
20,2019-08-02 21:09:09,2019-08-02 23:20:58,38.4,75.6,133.14242903524496,32.70273003033367,30.843276036400404
21,2019-08-03 19:25:23,2019-08-03 21:35:31,15.6,88.8,133.63102537947782,32.68474923234391,31.326509723643806
22,2019-08-04 02:26:02,2019-08-04 03:23:33,41.2,73.6,133.08247602880664,34.648148148148145,32.298611111111114
23,2019-08-04 16:55:43,2019-08-04 20:52:48,13.6,80.8,132.3369331597222,37.39775280898876,36.157303370786515
24,2019-08-05 13:17:58,2019-08-05 14:47:55,32.0,82.8,133.0690911909449,36.251479289940825,34.32396449704142
25,2019-08-06 01:44:22,2019-08-06 03:47:55,8.0,77.2,134.2037468408799,40.3764832793959,37.996763754045304
26,2019-08-06 11:30:09,2019-08-06 12:58:05,39.6,99.6,137.13396348148152,40.46212121212121,38.85606060606061
27,2019-08-06 22:54:43,2019-08-06 23:59:01,40.4,94.0,134.00357460095356,40.15527950310559,37.94409937888199
28,2019-08-07 13:29:18,2019-08-07 15:05:01,36.4,90.0,134.35253805451904,39.24061196105702,37.77190542420028
29,2019-08-07 21:09:34,2019-08-07 23:06:27,36.4,99.6,136.37652108386078,41.87571265678449,38.96921322690992
30,2019-08-08 03:55:33,2019-08-08 04:36:25,64.8,97.2,134.39781783264743,38.71335504885994,35.6514657980456
31,2019-08-08 04:40:49,2019-08-08 04:57:46,97.2,99.6,189.31942951388956,39.0,36.0
32,2019-08-08 16:24:15,2019-08-08 20:51:04,15.6,99.6,135.5887568150794,42.00899550224887,40.051974012993504
33,2019-08-09 04:28:29,2019-08-09 06:25:54,43.6,98.8,135.09938331873997,39.79795686719637,36.953461975028375
34,2019-08-09 23:00:31,2019-08-09 23:54:26,29.6,79.2,134.5008653225806,42.264197530864195,40.187654320987654
35,2019-08-09 23:59:54,2019-08-10 00:37:47,84.4,99.6,145.9681645650586,43.6,40.90877192982456
36,2019-08-10 11:55:30,2019-08-10 14:12:55,29.6,99.6,135.59939794047622,42.0184287099903,40.65955383123181
37,2019-08-11 00:39:45,2019-08-11 02:24:05,23.2,75.6,131.780724802799,39.08684546615581,36.77139208173691
38,2019-08-11 06:08:22,2019-08-11 07:57:22,47.2,98.8,134.64317380275628,38.914425427872864,35.92053789731052
