Cell,Cycle,Tem,Voltage-mean,Voltage,Current,Capacity
NCA Cell 9,1,25,3.3502838324999997,2.6499903,-3499.5682203355823,3276.787813932968
NCA Cell 9,2,25,3.3505478814946623,2.6499903,-3499.3537922021364,3276.718320732962
NCA Cell 9,3,25,3.351792034163701,2.649951,-3499.391568241876,3274.862815455595
NCA Cell 9,4,25,3.353332938790036,2.649951,-3499.396587062965,3272.362637079264
NCA Cell 9,5,25,3.3518199975177305,2.6499903,-3499.383596416064,3269.885405495333
NCA Cell 9,6,25,3.352591213120567,2.6498723,-3499.457241520483,3267.856966326633
NCA Cell 9,7,25,3.3538357056737587,2.649951,-3499.4750881831,3264.401355214301
NCA Cell 9,8,25,3.353778456737589,2.6499903,-3499.375417854206,3261.131816271023
NCA Cell 9,9,25,3.354341089716312,2.649951,-3499.565569587525,3258.830208756372
NCA Cell 9,10,25,3.354329225886525,2.6499116000000003,-3499.498402287121,3256.053640002849
NCA Cell 9,11,25,3.354466039007092,2.649951,-3499.4815086169456,3252.5212492907726
NCA Cell 9,12,25,3.3549416939716314,2.6499116000000003,-3499.464829256154,3249.8368498342547
NCA Cell 9,13,25,3.3550732085106385,2.6499116000000003,-3499.641743123508,3247.418683781466
NCA Cell 9,14,25,3.3548358719858156,2.649951,-3499.019284327379,3243.990586630862
NCA Cell 9,15,25,3.354748054964539,2.6499116000000003,-3498.777160154227,3240.317373630913
NCA Cell 9,16,25,3.35479650035461,2.6499116000000003,-3498.826677064345,3237.377430369737
NCA Cell 9,17,25,3.3549873510638295,2.6499116000000003,-3498.745652021172,3234.060285796437
NCA Cell 9,18,25,3.3550286780141843,2.649951,-3498.763868384765,3230.687096446668
NCA Cell 9,19,25,3.3550120563829786,2.649951,-3498.790724510321,3227.8879080367024
NCA Cell 9,20,25,3.3549266237588653,2.6499903,-3498.8177567544844,3223.831480296899
NCA Cell 9,21,25,3.354683279787234,2.649951,-3498.894083354586,3221.114099779054
NCA Cell 9,22,25,3.3547191514184393,2.6500297,-3498.846156260866,3218.075440801188
NCA Cell 9,23,25,3.354834475886525,2.6499903,-3498.9984067687324,3214.540354711236
NCA Cell 9,24,25,3.3542566294326237,2.6500692000000003,-3498.882330547517,3210.8076875963
NCA Cell 9,25,25,3.3538107124113474,2.649951,-3498.8581926646098,3207.106298391657
NCA Cell 9,26,25,3.3543554737588654,2.6498723,-3498.8671013891667,3203.608392587349
NCA Cell 9,27,25,3.3539147212765954,2.6498723,-3498.93987559496,3199.980427999946
NCA Cell 9,28,25,3.3537074046099296,2.6499116000000003,-3498.848464488557,3196.050006688097
NCA Cell 9,29,25,3.3538868010638296,2.6499116000000003,-3498.68884523866,3191.906878507079
NCA Cell 9,30,25,3.35354739822695,2.6499116000000003,-3498.8111879490552,3188.541191120742
NCA Cell 9,31,25,3.3537410439716315,2.6499903,-3498.870521053206,3184.730057187772
NCA Cell 9,32,25,3.3534466085106382,2.649951,-3498.787129855782,3180.957595296361
NCA Cell 9,33,25,3.3534477184397162,2.6500297,-3498.835682667407,3177.243562308213
NCA Cell 9,34,25,3.3536160960992905,2.649951,-3498.791633474792,3173.692542191975
NCA Cell 9,35,25,3.3531109765957448,2.6500297,-3498.752521009957,3169.868314165716
NCA Cell 9,36,25,3.3531761804964537,2.6500297,-3498.783685588932,3166.4283799553777
NCA Cell 9,37,25,3.3535807751773046,2.6499116000000003,-3498.8225560583446,3163.210499456245
NCA Cell 9,38,25,3.3533647946808514,2.6499903,-3498.838930099281,3159.3287416098383
NCA Cell 9,39,25,3.3526700879432623,2.6500297,-3498.825861897547,3155.9873327880878
NCA Cell 9,40,25,3.352636862411348,2.6499116000000003,-3498.913777147473,3151.973348469103
NCA Cell 9,41,25,3.3525535148936174,2.6499903,-3498.85454737992,3148.66245346734
NCA Cell 9,42,25,3.3525137273049648,2.6499116000000003,-3498.936903560655,3145.214907829181
NCA Cell 9,43,25,3.3524270290780143,2.6499116000000003,-3498.822772874441,3142.108825449493
NCA Cell 9,44,25,3.352351777659574,2.649951,-3498.760556696261,3139.069678748101
NCA Cell 9,45,25,3.352648590070922,2.649951,-3498.9532017834968,3135.70675380805
