Cell,Cycle,Tem,Voltage-mean,Voltage,Current,Capacity
NCA Cell23,1,45,3.3664433927335637,2.6498704,-3500.261468855732,3350.795471528726
NCA Cell23,2,45,3.366670803114187,2.6499097000000003,-3500.314843556776,3350.460624466145
NCA Cell23,3,45,3.3663666833910035,2.6499887,-3500.430101072476,3346.124805320092
NCA Cell23,4,45,3.366747926643599,2.650028,-3500.2069396393654,3344.533191816134
NCA Cell23,5,45,3.366666444290657,2.6499097000000003,-3500.229301654076,3341.044511250814
NCA Cell23,6,45,3.366529236678201,2.6500673,-3500.149045296847,3336.77869055393
NCA Cell23,7,45,3.3668694598615914,2.6499491,-3500.417340373845,3333.748283846165
NCA Cell23,8,45,3.366987317647059,2.6500673,-3500.412427528994,3330.405691750488
NCA Cell23,9,45,3.366847661591695,2.6499491,-3500.204046925584,3327.709045752768
NCA Cell23,10,45,3.366740294463668,2.650028,-3500.190979015333,3324.249784181588
NCA Cell23,11,45,3.3664880871972316,2.6499887,-3500.1796434943653,3320.889158110081
NCA Cell23,12,45,3.366636470934256,2.6499887,-3500.275184115044,3317.713371236302
NCA Cell23,13,45,3.3685988399305558,2.6499887,-3500.288480690801,3314.551098114696
NCA Cell23,14,45,3.366287798269896,2.6499887,-3500.37232412086,3311.5500294060635
NCA Cell23,15,45,3.365438002777778,2.6498311,-3500.346917125356,3306.0299587127
NCA Cell23,16,45,3.3682894354166666,2.650028,-3500.149168323524,3304.970042458498
NCA Cell23,17,45,3.368362167708333,2.6499887,-3500.110184843515,3302.153202610679
NCA Cell23,18,45,3.3685386791666665,2.650028,-3500.079049891111,3299.322196806507
NCA Cell23,19,45,3.368266047569444,2.6499491,-3500.151902895962,3296.485665163301
NCA Cell23,20,45,3.3678599743055555,2.6498311,-3500.065448534899,3293.4399743470617
NCA Cell23,21,45,3.3679515795138886,2.650028,-3500.0248127139284,3290.264615265842
NCA Cell23,22,45,3.3675345635416662,2.6499491,-3500.128163839142,3287.346346624483
NCA Cell23,23,45,3.367485202430556,2.6499097000000003,-3500.069418346829,3284.448593595105
NCA Cell23,24,45,3.367161711111111,2.6498704,-3500.110987006088,3281.469288928492
NCA Cell23,25,45,3.367092392361111,2.6499097000000003,-3500.157273398036,3278.290781751844
NCA Cell23,26,45,3.3669898468749997,2.650028,-3500.0206701998072,3275.46759092326
NCA Cell23,27,45,3.366229921527778,2.6499887,-3499.954353176449,3272.599415458034
NCA Cell23,28,45,3.3667146190972224,2.6499887,-3500.0417789446724,3269.6330639687767
NCA Cell23,29,45,3.366604690625,2.6499887,-3500.014100506208,3266.822723920495
NCA Cell23,30,45,3.3659093027777782,2.6499887,-3500.140011283175,3263.800766546225
NCA Cell23,31,45,3.365625458680556,2.6499887,-3500.157762445892,3261.300695109726
